ATCF_ID,MI_DATE,MA_DATE,VMAX,SST,TIME,MNCDPC,NSBMI,INT
AL062018,2018-08-31 18:00:00,2018-09-11 18:00:00,130.0,29.2,270,6,45,['RI']
AL062022,2022-09-02 18:00:00,2022-09-10 00:00:00,95.0,29.5,180,5,30,['NI']
AL082019,2019-09-03 18:00:00,2019-09-08 18:00:00,55.0,29.1,126,5,21,['NI']
AL122017,2017-09-05 06:00:00,2017-09-08 18:00:00,135.0,29.5,90,13,15,['RI']
AL202021,2021-09-29 12:00:00,2021-10-01 12:00:00,55.0,29.1,54,6,9,['NI']
EP022021,2021-05-30 18:00:00,2021-06-01 06:00:00,50.0,29.6,42,7,7,['NI']
EP052020,2020-07-06 18:00:00,2020-07-10 18:00:00,60.0,29.7,102,5,17,['NI']
EP062022,2022-07-15 12:00:00,2022-07-17 12:00:00,75.0,29.0,54,9,9,['NI']
EP072021,2021-07-17 00:00:00,2021-07-18 18:00:00,50.0,29.3,48,5,8,['NI']
EP112019,2019-09-01 00:00:00,2019-09-03 12:00:00,110.0,29.2,66,7,11,['RI']
EP122019,2019-09-04 12:00:00,2019-09-05 18:00:00,35.0,28.7,36,6,6,['NI']
EP172022,2022-10-03 06:00:00,2022-10-04 18:00:00,40.0,28.7,42,4,7,['NI']
EP202018,2018-09-25 06:00:00,2018-09-28 06:00:00,130.0,29.6,78,12,13,['RI']
EP212018,2018-09-29 12:00:00,2018-10-04 06:00:00,120.0,29.2,120,12,20,['RI']
WP022016,2016-07-03 00:00:00,2016-07-06 06:00:00,155.0,30.4,84,14,14,['RI']
WP022021,2021-04-13 06:00:00,2021-04-17 12:00:00,170.0,29.9,108,7,18,['RI']
WP032017,2017-04-25 00:00:00,2017-04-26 18:00:00,40.0,29.1,48,6,8,['NI']
WP032018,2018-03-25 00:00:00,2018-03-30 12:00:00,130.0,29.4,138,9,23,['RI']
WP062021,2021-06-20 06:00:00,2021-06-25 06:00:00,65.0,30.9,114,19,19,['NI']
WP102018,2018-07-03 12:00:00,2018-07-08 12:00:00,145.0,30.2,126,5,21,['RI']
WP132015,2015-07-30 06:00:00,2015-08-03 18:00:00,155.0,30.0,108,17,18,['RI']
WP142017,2017-08-10 18:00:00,2017-08-13 00:00:00,100.0,29.9,60,9,10,['RI']
WP152020,2020-09-26 18:00:00,2020-09-29 06:00:00,65.0,30.6,66,9,11,['NI']
WP162016,2016-09-09 00:00:00,2016-09-13 12:00:00,170.0,30.4,114,10,19,['RI']
WP202016,2016-09-22 18:00:00,2016-09-27 00:00:00,115.0,30.1,108,10,18,['NI']
WP202019,2019-10-05 00:00:00,2019-10-07 12:00:00,160.0,30.7,66,11,11,['RI']
WP222019,2019-10-18 18:00:00,2019-10-22 12:00:00,135.0,30.4,96,7,16,['RI']
WP232020,2020-10-31 12:00:00,2020-11-04 12:00:00,50.0,30.4,102,12,17,['NI']
WP252017,2017-10-15 12:00:00,2017-10-21 12:00:00,135.0,30.3,150,15,25,['RI']
WP252021,2021-10-24 00:00:00,2021-10-28 06:00:00,85.0,30.3,108,7,18,['NI']
WP262016,2016-11-02 06:00:00,2016-11-06 00:00:00,90.0,29.8,96,11,16,['NI']
WP262018,2018-09-07 06:00:00,2018-09-12 06:00:00,155.0,30.3,126,8,21,['RI']
WP262019,2019-11-11 06:00:00,2019-11-15 12:00:00,115.0,29.3,108,15,18,['RI']
WP272015,2015-11-17 00:00:00,2015-11-21 00:00:00,120.0,29.8,102,17,17,['NI']
WP272017,2017-10-19 18:00:00,2017-10-28 06:00:00,65.0,30.2,168,11,28,['NI']
WP342018,2018-11-20 12:00:00,2018-11-22 18:00:00,95.0,30.3,60,5,10,['NI']
